Title,NumeroContrato,NombreContrato,UnidadCosto,NombreUnidadCosto,CodigoCentroCosto,NombreCentroCosto,Activo
CONT-001,0000000102:0001,ABASTECIMIENTO,100,ADMINISTRACION,10104,GERENCIA FINANZAS,1
CONT-002,7801797801:0001,ACCIONA OSSA PIZZAROTTI CAMBIO TURNO,109,SERV ESPECIALES,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-003,5906986002:0001,ACCIONA TALABRE,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-004,0000000101:0001,ADMINISTRACION,100,ADMINISTRACION,10100,GERENCIA GENERAL,1
CONT-005,7851187001:0001,ANDIMAR,109,SERV ESPECIALES,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-006,7611769635:0001,ARAMARK - CAMPUS CODELCO,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-007,7611769634:0001,ARAMARK - EL ABRA,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-008,7611769633:0001,ARAMARK - PRET,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-009,7611769609:0001,ARAMARK CAMPAMENTO ZONA NORTE,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-010,7611769626:0001,ARAMARK CAMPAMENTO ZONA NORTE INTERNO,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-011,7611769632:0001,ARAMARK DSAL,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-012,7611769614:0001,ARAMARK ESCONDIDA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-013,7611769625:0001,ARAMARK GABY,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-014,7611769627:0001,ARAMARK GABY INTERNO,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-015,7611769628:0001,ARAMARK MINISTRO HALES INTERNO,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-016,7611769612:0001,ARAMARK QUEBRADA BLANCA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-017,7611769602:0001,ARAMARK SIERRA GORDA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-018,7611769630:0001,ARAMARK SIERRA GORDA INTERNO,107,SERV ARAMARK,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-019,761176912:0001,ARAMARK VP ANDINA,109,SERV ESPECIALES,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-020,0000000162:0001,ARRIENDO DE BUSES,162,ARRIENDO DE BUSES,10100,GERENCIA GENERAL,1
CONT-021,7642593601:0001,ASIB - SIERRA GORDA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-022,7811932003:0001,AURA - DAND,102,SERV ANDINA CONTRATISTAS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-023,7605030115:0001,BERLIAM - DRT CHANCADO SECUNDARIO,121,SERV FERROVIAL,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-024,7605030110:0001,BERLIAM DRT CHANCADO,121,SERV FERROVIAL,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-025,7605030113:0001,BERLIAM ZALDIVAR,121,SERV FERROVIAL,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-026,0000000103:0001,BODEGA,100,ADMINISTRACION,10104,GERENCIA FINANZAS,1
CONT-027,6170400008:0001,CODELCO ANDINA 2022,154,SERV CODELCO ANDINA,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-028,6170400006:0001,CODELCO DMH,128,SERV CODELCO DMH,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-029,6170400010:0001,CODELCO DRT,163,CODELCO DRT,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-030,6170400009:0001,CODELCO VP ANDINA 2022,155,SERV CODELCO ANDINA VP,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-031,6170400007:0001,CODELCO VP CHUQUI PMCHS,152,SERV CODELCO - EECC PMCHS,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-032,0000000104:0001,COMERCIAL,100,ADMINISTRACION,10102,GERENCIA COMERCIAL,1
CONT-033,9687083002:0001,COMTECSA - PMCHS,152,SERV CODELCO - EECC PMCHS,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-034,0000000106:0001,CONTABILIDAD,100,ADMINISTRACION,10104,GERENCIA FINANZAS,1
CONT-035,0000000107:0001,CONTROL FLOTA,100,ADMINISTRACION,10115,CONTROL FLOTA,1
CONT-036,9957547004:0001,DESCARTABLES,100,ADMINISTRACION,10115,CONTROL FLOTA,1
CONT-037,9999999998:0001,DISPONIBLES EN REPARACION,108,MANTENCION LOS ANDES,10106,GERENCIA MANTENIMIENTO,1
CONT-038,9957547008:0001,DISPONIBLES PARA ASIGNAR,100,ADMINISTRACION,10102,GERENCIA COMERCIAL,1
CONT-039,7672704001:0001,DMC CENTINELA,165,SERV MINERA CENTINELA,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-040,7952723001:0001,EMIN - MEL,166,CONTRATISTAS ANTOFAGASTA,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-041,7604187102:0001,ENAEX ANDINA 2024,102,SERV ANDINA CONTRATISTAS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-042,0000000105:0001,FACTURACION Y COBRANZAS,100,ADMINISTRACION,10104,GERENCIA FINANZAS,1
CONT-043,9148900001:0001,FINNING ARMADO DAND,102,SERV ANDINA CONTRATISTAS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-044,9148900002:0001,FINNING MARC DAND,102,SERV ANDINA CONTRATISTAS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-045,7776182302:0001,FLIX LA SERENA,164,SERV FLIX,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-046,7776182304:0001,FLIX QUINTERO,164,SERV FLIX,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-047,7776182308:0001,FLIX SAN ANTONIO,164,SERV FLIX,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-048,7776182303:0001,FLIX SANTIAGO,164,SERV FLIX,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-049,7776182306:0001,FLIX VALPARAÍSO,164,SERV FLIX,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-050,7776182301:0001,FLIX VIÑA DEL MAR,164,SERV FLIX,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-051,8555590001:0001,FLUOR - EL ABRA,106,SERV CONTRATISTAS CALAMA,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-052,7676154701:0001,FLUOR SALFA CENTINELA,169,FLUOR SALFA CENTINELA,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-053,8832580001:0001,FUNDICION ALTONORTE,125,SERV ALTONORTE,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-054,7973088001:0001,INCOLUR VP ANDINA,109,SERV ESPECIALES,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-055,0000000158:0001,INDIRECTOS ZONA I,158,INDIRECTOS ZONA I,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-056,0000000159:0001,INDIRECTOS ZONA II,159,INDIRECTOS ZONA II,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-057,0000000167:0001,INDIRECTOS ZONA III,167,INDIRECTOS ZONA III,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-058,7850277002:0001,INTERURBANO VALPARAISO,150,SERV PASAJEROS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-059,7831857001:0001,JEJ INGENIERIA VP ANDINA,109,SERV ESPECIALES,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
